object_id	postal_code	mun_name	neighborhood_name	neighborhood_type	area	with_event	x_centroid	y_centroid
33656	66612	APODACA	JARDINES DE SAN ANDRES 2DO SECT	COLONIA	1.1902190274e-05	False	-100.24	25.798
33657	66612	APODACA	LAS NUEVAS PUENTES	COLONIA	3.08568022719e-05	False	-100.26	25.787
33658	66612	APODACA	LOS EBANOS	COLONIA	6.56595064269e-06	False	-100.241	25.778
33659	66612	APODACA	LOS ENCINOS	COLONIA	7.78815038046e-06	False	-100.265	25.791
33660	66612	APODACA	LOS LIRIOS	COLONIA	3.51519971522e-06	False	-100.253	25.806
33661	66612	APODACA	MISION DE FUNDADORES	COLONIA	2.51263222373e-05	False	-100.247	25.794
33662	66612	APODACA	MISION DE FUNDADORES 2DO SECT	COLONIA	2.26526122459e-05	False	-100.243	25.795
33663	66612	APODACA	MISION SAN JOSE	COLONIA	1.19597507814e-05	False	-100.235	25.787
33664	66612	APODACA	REAL DE SAN ANDRES	COLONIA	3.30793893297e-05	False	-100.236	25.802
33665	66612	APODACA	RES EBANOS 2DO SECT	COLONIA	4.68749996329e-06	False	-100.242	25.78
33666	66612	APODACA	RES EBANOS 3ER SECT	COLONIA	4.7515998408e-06	False	-100.24	25.779
33667	66612	APODACA	RES EBANOS 4TO SECT	COLONIA	9.60414985069e-06	False	-100.24	25.783
33668	66612	APODACA	RES EBANOS 5TO SECT	COLONIA	5.43334950104e-06	False	-100.238	25.785
33669	66612	APODACA	RES EBANOS 6TO SECT	COLONIA	7.19348059836e-06	False	-100.239	25.787
33670	66612	APODACA	RES MANANTIAL	COLONIA	4.14969989193e-06	False	-100.264	25.782
33671	66612	APODACA	RES MANANTIAL 2DA SECC	COLONIA	1.06827990741e-05	False	-100.264	25.786
33672	66612	APODACA	SANTA ALICIA	COLONIA	1.37809952947e-06	False	-100.249	25.797
33673	66612	APODACA	VALLE DE SAN ANDRES	COLONIA	5.76595026545e-06	False	-100.247	25.798
33674	66612	APODACA	COSMOPOLIS METROPLEX	COLONIA	5.36254538175e-05	False	-100.251	25.788
33675	66612	APODACA	FRACC BOSQUE REAL 1ER SECT	COLONIA	1.33357515202e-05	False	-100.245	25.782
33676	66612	APODACA	FRACC BOSQUE REAL 2DO SECT	COLONIA	9.69380051078e-06	False	-100.244	25.78
33677	66613	APODACA	FRACC COSMOPOLIS 8VA SECC	COLONIA	1.55997994976e-05	False	-100.246	25.823
33678	66613	APODACA	FRACC JARD DE MONTERREY 1ER SECT	COLONIA	8.85514936133e-06	False	-100.261	25.815
33679	66613	APODACA	FRACC JARD DE MONTERREY 2DO SECT	COLONIA	1.54738507998e-05	False	-100.259	25.808
33680	66613	APODACA	FRACC JARD DE MONTERREY 3ER SECT	COLONIA	1.32946248126e-05	False	-100.26	25.812
