,source,target,weight
574,33674,34291,1
575,33674,34333,1
576,33674,34344,1
577,33674,34404,1
578,33674,34654,1
579,33674,34717,1
580,33674,34728,1
581,33674,34742,1
582,33674,34745,1
583,33674,34759,1
584,33674,34761,1
585,33674,34890,1
586,33674,34961,1
587,33674,34988,1
588,33674,35034,1
589,33674,35102,1
590,33674,35123,1
591,33674,35172,1
592,33674,35242,1
593,33674,35271,1
594,33674,35376,1
595,33674,35384,1
596,33674,35404,2
597,33674,35410,1
598,33674,35443,1
599,33674,35449,1
600,33674,35549,1
601,33674,35627,1
602,33674,35638,1
603,33674,35740,1
604,33674,35873,1
605,33674,35875,1
606,33674,35915,1
607,33674,35931,1
608,33674,36247,1
609,33674,36415,1
610,33674,36421,1
611,33674,36459,1
612,33674,36476,1
613,33687,33901,1
614,33687,34154,1
615,33687,34256,1
616,33687,34287,1
617,33687,35376,1
618,33687,36322,1
619,33689,33864,1
620,33689,33880,1
621,33689,33901,3
622,33689,34041,1
623,33689,34066,1
624,33689,34287,1
625,33689,34344,1
626,33689,34357,1
627,33689,34529,1
628,33689,34536,1
629,33689,34580,1
630,33689,34955,2
631,33689,35004,1
632,33689,35010,1
633,33689,35061,1
634,33689,35102,1
635,33689,35178,1
636,33689,35259,1
637,33689,35376,2
638,33689,35381,1
639,33689,35404,1
640,33689,35450,1
641,33689,35953,1
642,33689,36503,1
643,33691,33791,1
644,33691,33901,1
645,33691,34532,1
646,33691,34759,1
647,33691,34794,1
648,33691,34955,1
649,33691,35074,1
650,33691,35116,1
651,33691,35264,1
652,33691,35414,1
653,33696,33910,1
654,33696,33922,1
655,33696,33930,1
656,33696,34036,1
657,33696,35132,1
658,33696,35162,1
659,33696,35418,1
660,33696,36425,1
661,33703,33724,1
662,33703,33784,1
663,33703,33843,1
664,33703,33844,1
665,33703,34090,1
666,33703,34174,1
667,33703,34713,1
668,33703,34955,2
669,33703,34961,1
670,33703,35117,1
671,33703,35125,1
672,33703,35152,1
673,33703,35172,1
674,33703,35238,1
675,33703,35264,1
676,33703,35353,1
677,33703,35376,1
678,33703,35392,1
679,33703,35406,1
680,33703,36128,1
681,33706,33721,1
682,33706,33901,1
683,33706,33902,1
684,33706,34029,1
685,33706,34093,1
686,33706,34191,1
687,33706,34955,1
688,33706,35161,1
689,33706,35162,1
690,33706,35261,1
691,33706,35376,1
692,33706,35392,1
693,33706,35465,2
694,33706,35545,1
695,33706,35945,1
696,33707,33707,1
697,33707,33742,1
698,33707,33778,1
699,33707,33820,1
700,33707,33886,1
701,33707,33901,4
702,33707,33913,1
703,33707,33918,1
704,33707,33925,1
705,33707,33965,1
706,33707,34018,1
707,33707,34272,1
708,33707,34287,1
709,33707,34298,2
710,33707,34326,1
711,33707,34358,1
712,33707,34575,1
713,33707,34583,1
714,33707,34622,1
715,33707,34647,1
716,33707,34648,1
717,33707,34681,1
718,33707,34802,1
719,33707,34955,3
720,33707,34958,1
721,33707,34961,2
722,33707,34968,1
723,33707,35001,1
724,33707,35009,2
725,33707,35050,2
726,33707,35096,1
727,33707,35102,1
728,33707,35121,1
729,33707,35178,1
730,33707,35243,1
731,33707,35250,1
732,33707,35261,1
733,33707,35282,1
734,33707,35289,1
735,33707,35376,1
736,33707,35377,1
737,33707,35380,1
738,33707,35384,1
739,33707,35393,1
740,33707,35436,1
741,33707,35482,1
742,33707,35545,1
743,33707,35557,1
744,33707,35716,1
745,33707,35781,1
746,33707,35820,1
747,33707,35837,1
748,33707,35915,1
749,33707,35937,1
750,33707,35942,1
751,33707,35969,1
752,33707,36037,1
753,33707,36065,1
754,33707,36377,1
755,33708,33727,2
756,33708,33901,1
757,33708,33987,1
758,33708,34029,1
759,33708,34585,1
760,33708,34955,1
761,33708,35368,1
762,33708,35369,1
763,33708,35418,1
764,33709,33901,1
765,33709,34034,1
766,33709,34053,1
767,33709,34117,1
768,33709,34366,1
769,33709,34955,1
770,33709,34982,1
771,33709,35264,1
772,33709,35282,1
773,33709,35384,2
774,33709,35447,1
775,33709,35460,1
776,33709,35548,1
777,33709,35588,1
778,33709,36457,1
779,33709,36471,1
780,33710,33742,1
781,33710,33901,1
782,33710,34018,1
783,33710,34287,1
784,33710,34358,1
785,33710,34648,1
786,33710,34681,1
787,33710,34955,1
788,33710,34958,1
789,33710,34961,1
790,33710,35009,1
791,33710,35050,1
792,33710,35121,1
793,33710,35377,1
794,33710,35393,1
795,33710,35716,1
796,33710,35915,1
797,33710,36377,1
798,33711,33727,1
799,33711,33925,1
800,33711,33937,1
801,33711,33987,1
802,33711,34029,2
803,33711,34053,1
804,33711,34061,1
805,33711,34117,1
806,33711,34166,1
807,33711,34180,1
808,33711,34198,1
809,33711,34355,1
