year,date,lat,lon,news,cassualties,url,neighborhood,x,y,cve_mun,nom_mun,cve_loc,nom_loc
2015,2015-06-01,25.7815621,-100.1875974,Acribillan a tortillero en Apodaca,1.0,http://www.elnorte.com/aplicaciones/articulo/default.aspx?id=554084&v=2,APODACA CENTRO,2680930.1880442672,1526896.7344802401,6,Apodaca,1,Ciudad Apodaca
2015,2015-06-13,25.6685405,-100.4615679,Lo asesinan desde una camioneta,1.0,http://www.elnorte.com/aplicaciones/articulo/default.aspx?id=565231&v=2,SANCA,2653714.8243133035,1514116.2008929935,48,Santa Catarina,1,Ciudad Santa Catarina
2015,2015-06-12,25.5858931,-100.0244665,Torturan y ejecutan a un joven,1.0,http://www.elnorte.com/aplicaciones/articulo/default.aspx?id=565153&v=2,EMILIANO ZAPATA 2DO SECT,2697511.539771348,1505540.1046013376,9,Cadereyta Jiménez,1,Cadereyta Jiménez
2015,2015-05-07,25.6516471,-100.1059194,Encuentran en llamas a un ejecutado,1.0,http://www.elnorte.com/aplicaciones/articulo/default.aspx?id=532834&v=2,20 DE SEPTIEMBRE,2689272.7200636384,1512679.0315981081,31,Juárez,1,Ciudad Benito Juárez
2015,2015-05-04,25.671941600000004,-100.1402169,Encuentran a un ejecutado en Guadalupe,1.0,http://www.elnorte.com/aplicaciones/articulo/default.aspx?id=531152&v=2,PUERTA DEL SOL,2685816.60009743,1514871.5465880786,26,Guadalupe,1,Guadalupe
2015,2015-05-11,25.8092806,-100.5899619,Hallan a hombre ejecutado en Garc&#237;a,1.0,http://www.elnorte.com/aplicaciones/articulo/default.aspx?id=537010&v=2,CENTRO,2640734.0059646545,1529501.7414611664,18,García,1,García
2015,2015-05-28,25.6685405,-100.4615679,Ejecutan a hombre en Santa Catarina,1.0,http://www.elnorte.com/aplicaciones/articulo/default.aspx?id=551897&v=2,SANCA,2653714.8243133035,1514116.2008929935,48,Santa Catarina,1,Ciudad Santa Catarina
2015,2015-05-27,25.6685405,-100.4615679,Lo matan a 3 d&#237;as de salir del Penal,1.0,http://www.elnorte.com/aplicaciones/articulo/default.aspx?id=550581&v=2,SANCA,2653714.8243133035,1514116.2008929935,48,Santa Catarina,1,Ciudad Santa Catarina
2015,2015-05-23,25.5858931,-100.0244665,Calientan Cadereyta balacera y ejecuci&#243;n,1.0,http://www.elnorte.com/aplicaciones/articulo/default.aspx?id=547580&v=2,EMILIANO ZAPATA 2DO SECT,2697511.539771348,1505540.1046013376,9,Cadereyta Jiménez,1,Cadereyta Jiménez
2015,2015-05-01,25.5858931,-100.0244665,Hallan cad&#225;ver de soldador,1.0,http://www.elnorte.com/aplicaciones/articulo/default.aspx?id=529552&v=2,EMILIANO ZAPATA 2DO SECT,2697511.539771348,1505540.1046013376,9,Cadereyta Jiménez,1,Cadereyta Jiménez
