year,date,lat,lon,news,cassualties,url,object_id,postal_code,mun_name,neighborhood_name,neighborhood_type,area
2015,2015-06-12,25.5858931,-100.0244665,Torturan y ejecutan a un joven,1.0,http://www.elnorte.com/aplicaciones/articulo/default.aspx?id=565153&v=2,33929,67485.0,CADEREYTA JIMÉNEZ,EMILIANO ZAPATA 2DO SECT,COLONIA,0.00022470105081
2015,2015-05-07,25.6516471,-100.1059194,Encuentran en llamas a un ejecutado,1.0,http://www.elnorte.com/aplicaciones/articulo/default.aspx?id=532834&v=2,34741,67260.0,JUÁREZ,20 DE SEPTIEMBRE,FRACCIONAMIENTO,2.3631850924e-05
2015,2015-05-04,25.671941600000004,-100.1402169,Encuentran a un ejecutado en Guadalupe,1.0,http://www.elnorte.com/aplicaciones/articulo/default.aspx?id=531152&v=2,34587,67190.0,GUADALUPE,PUERTA DEL SOL,COLONIA,6.13290173387e-06
2015,2015-05-11,25.8092806,-100.5899619,Hallan a hombre ejecutado en Garc&#237;a,1.0,http://www.elnorte.com/aplicaciones/articulo/default.aspx?id=537010&v=2,34009,66000.0,GARCÍA,CENTRO,COLONIA,2.70253508227e-05
2015,2015-05-28,25.6685405,-100.4615679,Ejecutan a hombre en Santa Catarina,1.0,http://www.elnorte.com/aplicaciones/articulo/default.aspx?id=551897&v=2,36319,66350.0,SANTA CATARINA,SANCA,COLONIA,2.57714512278e-05
2015,2015-05-27,25.6685405,-100.4615679,Lo matan a 3 d&#237;as de salir del Penal,1.0,http://www.elnorte.com/aplicaciones/articulo/default.aspx?id=550581&v=2,36319,66350.0,SANTA CATARINA,SANCA,COLONIA,2.57714512278e-05
2015,2015-05-23,25.5858931,-100.0244665,Calientan Cadereyta balacera y ejecuci&#243;n,1.0,http://www.elnorte.com/aplicaciones/articulo/default.aspx?id=547580&v=2,33929,67485.0,CADEREYTA JIMÉNEZ,EMILIANO ZAPATA 2DO SECT,COLONIA,0.00022470105081
2015,2015-05-01,25.5858931,-100.0244665,Hallan cad&#225;ver de soldador,1.0,http://www.elnorte.com/aplicaciones/articulo/default.aspx?id=529552&v=2,33929,67485.0,CADEREYTA JIMÉNEZ,EMILIANO ZAPATA 2DO SECT,COLONIA,0.00022470105081
2015,2015-04-28,25.636347,-100.12727,Hallan en 3 bolsas cuerpo descuartizado,1.0,http://www.elnorte.com/aplicaciones/articulo/default.aspx?id=526902,34763,67275.0,JUÁREZ,HECTOR CABALLERO ESCAMILLA,FRACCIONAMIENTO,4.67921599742e-05
2015,2015-04-20,25.716156,-100.262039,Disparan desde taxi; matan a 1,1.0,http://www.elnorte.com/aplicaciones/articulo/default.aspx?id=519565&v=3,35937,66490.0,SAN NICOLÁS DE LOS GARZA,CONSTITUYENTES DE QUERETARO SECT 2,UNIDAD HABITACIONAL,2.96374503733e-05
2015,2015-04-27,25.656503,-100.324078,Fallece menor de 12 a&#241;os baleado,1.0,http://www.elnorte.com/aplicaciones/articulo/default.aspx?id=525847&v=2,35376,64720.0,MONTERREY,INDEPENDENCIA,FRACCIONAMIENTO,0.000221969402392
2015,2015-04-26,25.621569,-100.264578,Disparan contra j&#243;venes y ejecutan a uno,1.0,http://www.elnorte.com/aplicaciones/articulo/default.aspx?id=525005&v=3,35483,64878.0,MONTERREY,EJIDAL LOS REMATES,COLONIA,4.24150224827e-05
2015,2015-04-16,25.765005,-100.381143,Cazan sicarios a dos j&#243;venes,2.0,http://www.elnorte.com/aplicaciones/articulo/default.aspx?id=516647&v=2,35008,64106.0,MONTERREY,FOMERREY 116,COLONIA,2.57692502606e-05
2015,2015-04-06,25.739612,-100.349349,Acribillan sicarios a 3 en 6 horas,3.0,http://www.elnorte.com/aplicaciones/articulo/default.aspx?id=507680&v=3,35030,64140.0,MONTERREY,VALLE DE SANTA LUCIA,UNIDAD HABITACIONAL,6.25754503283e-05
2015,2015-04-15,25.81997,-100.296179,Hallan en Escobedo a mujer momificada,1.0,http://www.elnorte.com/aplicaciones/articulo/default.aspx?id=515543&v=2,34088,66053.0,GENERAL ESCOBEDO,RAUL CABALLERO,COLONIA,0.00017191504753599998
2015,2015-04-20,25.926778,-100.36856,Ejecutan a plagiado tras cobrar rescate,1.0,http://www.elnorte.com/aplicaciones/articulo/default.aspx?id=519562&v=4,0,,,,,
2015,2015-04-27,25.680683,-100.437793,Muere en el HU mesero baleado,1.0,http://www.elnorte.com/aplicaciones/articulo/default.aspx?id=525409,36257,66120.0,SANTA CATARINA,LOS PORTALES II,COLONIA,1.94209882471e-06
2015,2015-04-12,25.679533,-100.419078,Dejan a decapitado dentro de un auto,1.0,http://www.elnorte.com/aplicaciones/articulo/default.aspx?id=512587&v=3,36276,66149.0,SANTA CATARINA,TRABAJADORES,COLONIA,1.65496991624e-05
2015,2015-04-11,25.688608,-100.41676,Ejecutan a joven en Santa Catarina,1.0,http://www.elnorte.com/aplicaciones/articulo/default.aspx?id=512057&v=2,35973,66210.0,SAN PEDRO GARZA GARCÍA,AMPL SAN PEDRO 400,COLONIA,1.1438670240999995e-05
2015,2015-04-30,25.599505,-99.994469,Matan en su casa a pastor cristiano,1.0,http://www.elnorte.com/aplicaciones/articulo/default.aspx?id=528977,33910,67483.0,CADEREYTA JIMÉNEZ,NUEVA CADEREYTA,COLONIA,2.33615398901e-05
2015,2015-04-29,25.598917,-99.983257,Tiran en Cadereyta a mec&#225;nico ejecutado,1.0,http://www.elnorte.com/aplicaciones/articulo/default.aspx?id=527873&v=2,33908,67483.0,CADEREYTA JIMÉNEZ,LAZARO CARDENAS 1ER SECT,COLONIA,3.67828503199e-05
2015,2015-03-10,25.633062,-100.097347,Tiran en lona a un ejecutado,1.0,http://www.elnorte.com/aplicaciones/articulo/default.aspx?id=484808&v=3,34750,67266.0,JUÁREZ,EL MIRADOR,COLONIA,0.000167920949439
