,OBJECTID,POSTALCODE,ST_NAME,MUN_NAME,SETT_NAME,SETT_TYPE,WITH_EVENT,x_centroid,y_centroid
115,33639,66612,NUEVO LEON,APODACA,FRACC PRADOS DE LOS PINOS 2DO SECT,COLONIA,False,-100.246,25.784
116,33640,66612,NUEVO LEON,APODACA,FRACC PRADOS DE LOS PINOS 3ER SECT,COLONIA,False,-100.247,25.783
117,33641,66612,NUEVO LEON,APODACA,FRACC PRADOS DEL VIRREY,COLONIA,False,-100.267,25.796
118,33642,66612,NUEVO LEON,APODACA,FRACC VALLE APODACA,COLONIA,False,-100.258,25.796
119,33643,66612,NUEVO LEON,APODACA,FRACC VALLE APODACA 1ER SECT,COLONIA,False,-100.257,25.792
120,33644,66612,NUEVO LEON,APODACA,FRACC VALLE APODACA 2DO SECT,COLONIA,False,-100.259,25.792
121,33645,66612,NUEVO LEON,APODACA,FRACC VALLE APODACA 3ER SECT,COLONIA,False,-100.258,25.795
122,33646,66612,NUEVO LEON,APODACA,FRACC VALLE DE LAS BUGAMBILIAS,COLONIA,False,-100.265,25.794
123,33647,66612,NUEVO LEON,APODACA,FRACC VALLE DE LAS PALMAS 2DO SECT,COLONIA,True,-100.267,25.785
124,33648,66612,NUEVO LEON,APODACA,FRACC VALLE DE LAS PALMAS 3ER SECT,COLONIA,False,-100.266,25.79
125,33649,66612,NUEVO LEON,APODACA,FRACC VALLE DE SAN ANDRES 2DO SECT,COLONIA,False,-100.245,25.799
126,33650,66612,NUEVO LEON,APODACA,FRACC VALLE DE SAN ANDRES 3ER SECT,COLONIA,True,-100.243,25.8
127,33651,66612,NUEVO LEON,APODACA,FRACC VALLE DE SAN ANDRES 4TO SECT,COLONIA,True,-100.25,25.802
128,33652,66612,NUEVO LEON,APODACA,FRACC VILLAS PREMIER,COLONIA,False,-100.256,25.799
129,33653,66612,NUEVO LEON,APODACA,HACIENDA LAS YUCAS,COLONIA,False,-100.252,25.799
130,33654,66612,NUEVO LEON,APODACA,HACIENDA SANTA ISABEL,COLONIA,True,-100.247,25.786
131,33655,66612,NUEVO LEON,APODACA,JARDINES DE SAN ANDRES 1ER SECT,COLONIA,False,-100.24,25.803
132,33656,66612,NUEVO LEON,APODACA,JARDINES DE SAN ANDRES 2DO SECT,COLONIA,False,-100.24,25.798
133,33657,66612,NUEVO LEON,APODACA,LAS NUEVAS PUENTES,COLONIA,True,-100.26,25.787
134,33658,66612,NUEVO LEON,APODACA,LOS EBANOS,COLONIA,False,-100.241,25.778
135,33659,66612,NUEVO LEON,APODACA,LOS ENCINOS,COLONIA,False,-100.265,25.791
136,33660,66612,NUEVO LEON,APODACA,LOS LIRIOS,COLONIA,False,-100.253,25.806
137,33661,66612,NUEVO LEON,APODACA,MISION DE FUNDADORES,COLONIA,False,-100.247,25.794
138,33662,66612,NUEVO LEON,APODACA,MISION DE FUNDADORES 2DO SECT,COLONIA,True,-100.243,25.795
139,33663,66612,NUEVO LEON,APODACA,MISION SAN JOSE,COLONIA,False,-100.235,25.787
140,33664,66612,NUEVO LEON,APODACA,REAL DE SAN ANDRES,COLONIA,True,-100.236,25.802
141,33665,66612,NUEVO LEON,APODACA,RES EBANOS 2DO SECT,COLONIA,False,-100.242,25.78
142,33666,66612,NUEVO LEON,APODACA,RES EBANOS 3ER SECT,COLONIA,False,-100.24,25.779
143,33667,66612,NUEVO LEON,APODACA,RES EBANOS 4TO SECT,COLONIA,False,-100.24,25.783
144,33668,66612,NUEVO LEON,APODACA,RES EBANOS 5TO SECT,COLONIA,True,-100.238,25.785
145,33669,66612,NUEVO LEON,APODACA,RES EBANOS 6TO SECT,COLONIA,False,-100.239,25.787
146,33670,66612,NUEVO LEON,APODACA,RES MANANTIAL,COLONIA,False,-100.264,25.782
147,33671,66612,NUEVO LEON,APODACA,RES MANANTIAL 2DA SECC,COLONIA,False,-100.264,25.786
148,33672,66612,NUEVO LEON,APODACA,SANTA ALICIA,COLONIA,False,-100.249,25.797
149,33673,66612,NUEVO LEON,APODACA,VALLE DE SAN ANDRES,COLONIA,False,-100.247,25.798
150,33674,66612,NUEVO LEON,APODACA,COSMOPOLIS METROPLEX,COLONIA,True,-100.251,25.788
151,33675,66612,NUEVO LEON,APODACA,FRACC BOSQUE REAL 1ER SECT,COLONIA,False,-100.245,25.782
152,33676,66612,NUEVO LEON,APODACA,FRACC BOSQUE REAL 2DO SECT,COLONIA,False,-100.244,25.78
153,33677,66613,NUEVO LEON,APODACA,FRACC COSMOPOLIS 8VA SECC,COLONIA,False,-100.246,25.823
154,33678,66613,NUEVO LEON,APODACA,FRACC JARD DE MONTERREY 1ER SECT,COLONIA,False,-100.261,25.815
155,33679,66613,NUEVO LEON,APODACA,FRACC JARD DE MONTERREY 2DO SECT,COLONIA,False,-100.259,25.808
156,33680,66613,NUEVO LEON,APODACA,FRACC JARD DE MONTERREY 3ER SECT,COLONIA,False,-100.26,25.812
157,33681,66613,NUEVO LEON,APODACA,FRACC MIRADOR DEL TOPO FUNDADORES,COLONIA,False,-100.254,25.811
158,33682,66613,NUEVO LEON,APODACA,FRACC SANTA ELENA,COLONIA,False,-100.249,25.809
159,33683,66613,NUEVO LEON,APODACA,LOS AMARANTOS,COLONIA,False,-100.255,25.817
160,33684,66613,NUEVO LEON,APODACA,MOISES SAENZ,COLONIA,False,-100.255,25.822
161,33685,66613,NUEVO LEON,APODACA,PARQUE IND JARDINES DE MONTERREY,COLONIA,False,-100.262,25.82
