year,date,lat,lon,news,cassualties,url,area,OBJECTID,POSTALCODE,MUN_NAME,SETT_NAME,SETT_TYPE
2015,2015-10-19,25.7591211,-100.1920355,Asesinan y queman a hombre maniatado,1.0,https://www.elnorte.com/aplicacioneslibre/preacceso/articulo/default.aspx?id=672260&v=3&flow_type=paywall&urlredirect=https://www.elnorte.com/aplicaciones/articulo/default.aspx?id=672260&v=3&flow_type=paywall,4.20550997115e-05,33726,66633,APODACA,PARQUE INDUSTRIAL ALMACENTRO,COLONIA
2015,2015-10-16,25.877287,-100.120931,Hallan en brecha a 2 ejecutados,2.0,https://www.elnorte.com/aplicacioneslibre/preacceso/articulo/default.aspx?id=670269&v=4&flow_type=paywall&urlredirect=https://www.elnorte.com/aplicaciones/articulo/default.aspx?id=670269&v=4&flow_type=paywall,6.20008852818e-05,34231,65750,GENERAL ZUAZUA,PEDRO MARTINEZ,VILLA
2015,2015-12-30,25.563195999999998,-100.024872,Lo torturan y ejecutan en Cadereyta,1.0,https://www.elnorte.com/aplicacioneslibre/preacceso/articulo/default.aspx?id=730732&urlredirect=https://www.elnorte.com/aplicaciones/articulo/default.aspx?id=730732,5.48546036548e-05,33937,67485,CADEREYTA JIMÉNEZ,NUEVA MADERO,COLONIA
2015,2015-12-01,25.5867158,-100.00988570000001,Matan en casa a un ex polic�a,1.0,https://www.elnorte.com/aplicacioneslibre/preacceso/articulo/default.aspx?id=710372&v=4&urlredirect=https://www.elnorte.com/aplicaciones/articulo/default.aspx?id=710372&v=4,2.05299001397e-05,33935,67485,CADEREYTA JIMÉNEZ,GALINDO,COLONIA
2015,2015-12-15,25.664889199999998,-100.0945886,Cumplen amenaza; ejecutan a una joven,1.0,https://www.elnorte.com/aplicacioneslibre/preacceso/articulo/default.aspx?id=721261&v=4&urlredirect=https://www.elnorte.com/aplicaciones/articulo/default.aspx?id=721261&v=4,0.00042707405373400005,34719,67254,JUÁREZ,LOMAS DEL SOL,FRACCIONAMIENTO
2015,2015-12-31,25.7121515,-100.27161120000001,Hincan y matan a dos j�venes,2.0,https://www.elnorte.com/aplicacioneslibre/preacceso/articulo/default.aspx?id=731235&v=3&urlredirect=https://www.elnorte.com/aplicaciones/articulo/default.aspx?id=731235&v=3,5.64792016194e-05,35941,66490,SAN NICOLÁS DE LOS GARZA,CONSTITUYENTES DE QUERETARO SECT 6,UNIDAD HABITACIONAL
2016,2016-01-06,25.6828717,-100.4265403,Ejecutan a un joven al cenar en taquer�a,1.0,https://www.elnorte.com/aplicacioneslibre/preacceso/articulo/default.aspx?id=735202,1.38260990542e-05,36245,66115,SANTA CATARINA,LA FAMA 4,COLONIA
2016,2016-01-09,25.6901218,-100.4208135,Arde enero: ahora desatan una masacre,5.0,https://www.elnorte.com/aplicacioneslibre/preacceso/articulo/default.aspx?id=737558&v=5,1.75309760602e-05,36256,66119,SANTA CATARINA,LOMAS DE LA FAMA,COLONIA
2016,2016-01-07,25.672447000000002,-100.4027945,Lo mata a balazos un encapuchado,1.0,https://www.elnorte.com/aplicacioneslibre/preacceso/articulo/default.aspx?id=736195,3.94768876476e-06,35991,66218,SAN PEDRO GARZA GARCÍA,LUCIO BLANCO 2DO SECT,COLONIA
2016,2016-01-19,25.7242041,-100.3294442,Lanzan de camioneta a hombre asesinado,1.0,https://www.elnorte.com/aplicacioneslibre/preacceso/articulo/default.aspx?id=745317,2.41683473367e-05,35145,64260,MONTERREY,CONSTITUYENTES DEL 57,COLONIA
