		Total	Abasolo	Agualeguas	Los Aldamas	Allende	Anahuac	Apodaca	Aramberri	Bustamante	Cadereyta Jimenez	El Carmen	Cerralvo	Cienega de Flores	China	Doctor Arroyo	Doctor Coss	Doctor Gonzalez	Galeana	Garcia	San Pedro Garza Garcia	General Bravo	General Escobedo	General Teran	General Treviño	General Zaragoza	General Zuazua	Guadalupe	Los Herreras	Higueras	Hualahuises	Iturbide	Juarez	Lampazos de Naranjo	Linares	Marin	Melchor Ocampo	Mier y Noriega	Mina	Montemorelos	Monterrey	Parás	Pesquería	Los Ramones	Rayones	Sabinas Hidalgo	Salinas Victoria	San Nicolás de los Garza	Hidalgo	Santa Catarina	Santiago	Vallecillo	Villaldama
1998	Diciembre	1240						1																																	4												
1998	No especificado	97																																							1							1					
1999	Total	12249					1	2	3		8		1	2	3					1	2		3	1				6					1	1	4				1		52		1			1	1	6	1		6		
1999	Enero	1010													3																										4					1							
1999	Febrero	980						1	1																														1														
1999	Marzo	1119																			1																				6												
1999	Abril	1003											1															1													2												
1999	Mayo	1138							1		1												1	1				1					1		3						4							2					
1999	Junio	889									2																														6						1	1					
1999	Julio	1007					1				2																														8							1			1		
1999	Agosto	993						1															1					4													9		1								1		
1999	Septiembre	950												2									1																												4		
1999	Octubre	1018																																	1						6							2	1				
1999	Noviembre	949									2									1																					5												
1999	Diciembre	1125							1		1										1																				2												
1999	No especificado	68																																1																			
2000	Total	10737						4	1		3								2	2			12			1		9					1	1	4					3	53		1	1		2		5		2	1		
2000	Enero	1003							1										1				3					1							1						5												
2000	Febrero	917																					1												3						5		1					2		1			
2000	Marzo	914									1												1																	1	5							1					
2000	Abril	850																					4					1													4												
2000	Mayo	864						1															1			1															10												
2000	Junio	798						1			1												1					4						1							6					1				1			
2000	Julio	929																	1																						4			1									
2000	Agosto	818																										1													2							2					
2000	Septiembre	908						2																				1												1	6												
2000	Octubre	823									1												1																		3												
2000	Noviembre	840																										1												1						1							
2000	Diciembre	1019																		2													1								3										1		
2000	No especificado	54																																																			
2001	Total	10285						3	1		2	1			2	4			3	3	1		5		1			6							1						47					4		5		3			
2001	Enero	864																					1																		5												
2001	Febrero	767														1																									7					1				1			
2001	Marzo	884																		1								1													4					2		3		1			
2001	Abril	842														1							1					1													2							1					
2001	Mayo	900													1					1			1					1													3					1							
2001	Junio	843										1													1																2												
2001	Julio	888																	1																						2												
2001	Agosto	818							1												1							2													2												
2001	Septiembre	825						1																				1													6									1			
2001	Octubre	871													1																										7												
2001	Noviembre	812									1																								1						3							1					
2001	Diciembre	939						2			1					2			2	1			2																		3												
2001	No especificado	32																																							1												
2002	Total	10088				1	1	2		1	8	1				4			2	1		1		1				10			1		2		4				1	3	50		2			1		4		1	3		
2002	Enero	867									1																	2							2						6												
2002	Febrero	805																																						2	1									1			
2002	Marzo	911														3												1							1				1		3					1		1					
2002	Abril	862				1																													1						8							1					
2002	Mayo	829						1				1																													3							1					
2002	Junio	811									3																	3			1										2												
2002	Julio	850																																							4												
2002	Agosto	877					1	1		1	4					1						1																			5							1			2		
2002	Septiembre	755																						1																1	6		1										
2002	Octubre	767																										2													6		1										
2002	Noviembre	807																															1								4												
2002	Diciembre	908																	2	1								2					1								2										1		
2002	No especificado	39																																																			
2003	Total	10087	1				11	6	1		2		1			4			2	1	3		7	4				10	1				1		5			4		2	58		2	1		2	1	10	1	6	1		
2003	Enero	804																																							5							1					
2003	Febrero	725														1					1							2	1												4							1		2			
2003	Marzo	926						1												1	1		2	2				1										2			8							1					
2003	Abril	852					9	3								2																			1			1		1	4							1			1		
2003	Mayo	840																					1	1				2							1						4							2	1				
2003	Junio	857	1				1				2												2					3										1			8			1						1			
2003	Julio	856																																	1					1	4		1					2					
2003	Agosto	805							1																								1		1						5							2					
2003	Septiembre	800														1					1							1													5		1			2	1						
2003	Octubre	840						1											2				2	1																	3									3			
2003	Noviembre	911					1	1					1															1													4												
2003	Diciembre	830																																	1						3												
2003	No especificado	41																																							1												
2004	Total	9329			1	1	4	5			2			1	1	1			3	1	1		7		1		1	13					5		3			1			44					2	1	5		6	2	1	
2004	Enero	762					3																					1													3												
2004	Febrero	783													1								1					2													4												
2004	Marzo	808																	1				3					1													1									1			
2004	Abril	685																		1													1		2						4					1		1					
2004	Mayo	823																					2										1								5												
2004	Junio	802			1			3						1																			2								6									3			
2004	Julio	742						1											1									3													5												
2004	Agosto	777						1			2										1							1													2							1			1		
2004	Septiembre	749																	1				1				1	3													3					1		1			1	1	
2004	Octubre	779																							1			1													4						1						
2004	Noviembre	783				1	1									1												1							1			1			2							1		1			
2004	Diciembre	803																															1								5							1		1			
2004	No especificado	33																																																			
2005	Total	9921		1		1	8	3		1	4								2	7	2	2	6	2			1	10					4		5			1		2	71			1		1		7		5	2	2	
2005	Enero	776		1							1											1					1														4												
2005	Febrero	774																					1																		4									1		2	
2005	Marzo	819					3													1								2													6												
2005	Abril	859								1										2			1																		7					1		1					
2005	Mayo	822																		2	2		1												2						5			1									
2005	Junio	888						1												1			2	2				1							1						4							1		1	1		
2005	Julio	817						1																									1							1	14							2		1			
2005	Agosto	791																										1										1			1							1					
2005	Septiembre	837									3								1									5							2					1	7							1					
2005	Octubre	814					4												1			1											1								8									1			
2005	Noviembre	825				1	1													1													1								4							1			1		
2005	Diciembre	880						1															1					1					1								7									1			
2005	No especificado	19																																																			
2006	Total	10452		1			2	6			6	1	3		1	2			4	3	3	4	5	2				21					7		4					2	57		1	4	1	2	2	14		4	5	2	
2006	Enero	894						1															1					3							1						5									1			
2006	Febrero	762						1							1	1				1								1					1								5				1	1							
2006	Marzo	859																			1	4						2													7							3					
2006	Abril	831					1				1					1			1									1													3							1		1	1		
2006	Mayo	919																	1	1				1				2					1								4							4			1		
2006	Junio	858					1				2		1															1							1						4			1									
2006	Julio	851		1				1																				2												2	4		1			1		1			1		
2006	Agosto	924						1				1											1										2								10										1		
2006	Septiembre	914									1									1	2		1					1					3		1						5							2					
2006	Octubre	833																	1				1	1				1													4						2	2				1	
2006	Noviembre	893						1			1		2										1					7													3			3				1		2	1	1	
2006	Diciembre	878						1			1								1																1						3												
2006	No especificado	36																																																			
2007	Total	8867				2	2	17			8		1		1	1				2	6	1	9	2		1		21					5	1	4	2		2	1	4	139		1			3	1	17		21	3	1	
2007	Enero	594						2			1				1									1											1						7									1			
2007	Febrero	508						2																		1														2	11										1		
2007	Marzo	781						1			1										2		1					6						1							15						1	5		5			
2007	Abril	775				1		1					1										1					4					1			1				1	15							1		2			
2007	Mayo	935						3			1										3		1					4					1		1						18		1			1		2		3		1	
2007	Junio	757						1			1					1							2												1			1			13									1	1		
2007	Julio	740				1		4			1																								1	1					9					1		2		5	1		
2007	Agosto	764					1	1			1											1																			9							1		2			
2007	Septiembre	713					1	1												1								2											1	1	16							2		1			
2007	Octubre	768									2												2					3					1								13									1			
2007	Noviembre	708						1													1		2	1									2								7					1		2					
2007	Diciembre	797																		1								2										1			6							2					
2007	No especificado	27																																																			
2008	Total	14006				1	1	14	1		7	1		1	3	3			2	3	7	3	8	2		1		16			1		5	1	2	1		1		5	109					3	2	14	1	7	14		1
2008	Enero	890				1																2	1					1					1								9							2		2	1		
2008	Febrero	841						2				1				1				1			2					2			1									2	15					1		2		2			
2008	Marzo	1011																			2		1					1										1			11							2					
2008	Abril	943																			4							1						1							12					1	2			1	1		1
2008	Mayo	1147						2												1			1	1				1													10							1		1			
2008	Junio	1218						3	1						1				1							1		1												1	5							2			2		
2008	Julio	1185						4			1											1	1					1													10							2			2		
2008	Agosto	1275									1									1			1										2								10												
2008	Septiembre	1162													1																					1					3							3		1			
2008	Octubre	1456					1							1							1			1				5					1		1						10								1		7		
2008	Noviembre	1461						3			5					2												1												2	8												
2008	Diciembre	1387													1				1				1					2					1		1						6					1					1		
2008	No especificado	30																																																			
