source,target,weight
33696,34375,1
33696,35074,1
33696,35933,1
33703,33799,1
33703,34164,1
33703,35074,1
33703,35098,1
33703,35264,1
33703,35449,1
33706,33826,1
33706,34630,1
33706,35092,1
33706,35102,1
33706,35264,1
33706,35271,1
33706,35339,1
33706,35524,1
33706,35588,1
33706,36250,1
33707,33710,1
33707,33729,1
33707,33886,1
33707,33901,1
33707,33925,1
33707,34138,1
33707,34263,1
33707,34298,1
33707,34461,1
33707,34507,1
33707,34565,1
33707,34622,1
33707,34802,1
33707,35009,1
33707,35096,1
33707,35232,1
33707,35243,1
33707,35282,1
33707,35289,1
33707,35376,1
33707,35384,1
33707,35409,1
33707,35436,1
33707,35482,1
33707,35545,1
33707,35829,1
33707,35937,1
33707,35969,1
33707,36014,1
33707,36426,1
33707,36484,1
33708,33813,1
33708,34066,1
33708,34614,1
33708,34955,1
33708,35038,1
33708,35133,1
33708,35420,1
33708,35453,1
33708,35860,1
33709,33721,1
33709,33901,1
33709,34271,1
33709,34298,1
33709,34786,1
33709,34955,1
33709,34968,1
33709,35067,1
33709,35102,1
33709,35116,1
33709,35172,1
33709,35264,1
33709,35325,1
33709,35376,1
33709,35384,1
33709,35496,1
33709,35588,1
33709,35942,1
33710,33729,1
33710,34565,1
33710,36014,1
33710,36426,1
33711,33712,1
33711,33823,1
33711,33840,1
33711,33910,1
33711,33918,1
33711,34093,1
33711,34294,1
33711,34314,1
33711,34395,1
33711,34713,1
33711,34750,1
33711,34955,2
33711,35162,1
33711,35178,2
33711,35240,1
33711,35325,1
33711,35371,1
33711,35376,1
33711,35410,1
33711,35442,1
33711,35449,1
33711,35587,1
33711,35588,1
33711,35637,1
33711,35749,1
33711,35781,1
33711,35788,1
33711,35792,1
33711,35825,1
33711,35872,1
33711,36179,1
33711,36241,1
33711,36328,1
33712,33840,1
33712,33918,1
33712,34093,1
33712,35178,1
33712,35240,1
33712,35325,1
33712,35410,1
33712,35588,1
33712,35749,1
33712,35781,1
33712,36328,1
33714,33811,1
33714,33820,1
33714,33901,1
33714,33941,1
33714,34047,1
33714,34230,1
33714,34287,1
33714,34407,1
33714,34435,1
33714,34527,1
33714,34802,1
33714,34955,1
33714,35002,1
33714,35267,1
33714,35376,1
33714,35420,1
33714,35557,1
33714,35937,1
33714,36425,1
33721,33843,1
33721,33901,4
33721,33902,1
33721,33908,1
33721,33941,1
33721,33953,1
33721,34093,1
33721,34101,1
33721,34134,1
33721,34184,1
33721,34271,1
33721,34284,1
33721,34298,1
33721,34344,1
33721,34603,1
33721,34713,1
33721,34728,1
33721,34786,1
33721,34887,1
33721,34955,2
33721,34960,1
33721,34968,1
33721,35025,1
33721,35034,1
33721,35067,1
33721,35102,1
33721,35125,1
33721,35172,1
33721,35264,1
33721,35279,1
33721,35325,1
33721,35359,1
33721,35376,1
33721,35380,1
33721,35384,1
33721,35412,1
33721,35450,1
33721,35465,1
33721,35496,1
33721,35500,1
33721,35565,1
33721,35588,1
33721,35638,1
33721,35694,1
33721,35740,1
33721,35841,1
33721,35875,1
33721,35915,1
33721,35937,1
33721,36247,1
33721,36459,1
33721,36476,1
33721,36484,1
33722,33743,1
33722,33772,1
33722,33820,1
33722,33834,1
33722,33849,1
33722,33882,1
33722,33901,1
33722,33917,1
33722,34118,1
33722,34291,1
33722,34601,1
33722,34713,1
33722,34719,1
33722,35149,1
33722,35173,1
33722,35369,1
33722,35376,1
33722,35384,1
33722,35458,1
33722,35502,1
33722,35529,1
33722,35978,1
33722,36251,1
33722,36266,1
33724,33784,1
33724,33844,1
33724,34020,1
33724,34090,1
33724,34713,1
33724,34742,1
33724,34745,1
33724,34955,1
33724,34961,1
33724,35152,1
33724,35238,1
33724,35242,1
33724,35264,1
33724,35376,1
33724,35406,1
33724,35449,1
33724,36128,1
33725,33796,1
33725,33814,1
33725,33901,1
33725,33944,1
33725,34066,1
33725,34373,1
33725,34768,1
33725,34776,1
33725,35096,1
33725,35285,1
33725,35362,1
33725,35384,1
33725,35545,1
33725,35937,1
33725,36399,1
33726,35172,1
33726,35483,1
33727,33730,1
33727,33762,1
33727,33901,1
33727,33953,1
33727,33987,1
33727,34029,1
33727,34177,1
33727,34181,1
33727,34182,1
33727,34357,1
33727,34575,1
33727,34585,1
33727,34786,1
33727,34955,1
33727,35074,1
33727,35125,1
33727,35250,1
33727,35259,1
33727,35368,1
33727,35369,1
33727,35404,1
33727,35418,1
33727,35716,1
33727,36281,1
33727,36307,1
33729,34565,1
33729,36014,1
33729,36426,1
33730,34182,1
33730,35404,1
33730,36307,1
33733,33901,1
33733,34041,1
33733,34955,1
33733,35009,1
33733,35350,1
33733,35416,1
33733,35450,1
33733,35588,1
33733,36128,1
33736,34034,1
33736,34079,1
33736,34313,1
33736,34615,1
33736,35283,1
33736,35376,1
33736,35506,1
33736,35524,1
33736,35869,1
33736,36484,1
33742,33901,1
33742,34018,1
33742,34358,1
33742,34955,1
33742,34958,1
33742,34961,1
33742,35121,1
33742,35915,1
33742,36377,1
33743,33820,1
33743,34118,1
33743,34291,1
33743,34713,1
33743,34719,1
33743,34720,1
33743,35143,1
33743,35149,1
33743,35369,1
33743,35376,1
33743,35458,1
33743,35529,1
33743,35548,1
33743,36251,1
33743,36266,1
33743,36425,1
33746,34955,1
33746,35240,1
33746,35436,1
33746,35507,1
33746,35694,1
33746,36488,1
33752,35172,1
33752,35285,1
33752,35381,1
